2020-11-20 17:34:22,913: 'k'
2020-11-20 17:34:24,312: 'k'
2020-11-20 17:34:24,839: 'k'
2020-11-20 17:34:25,499: 'h'
2020-11-20 17:34:25,623: 'e'
2020-11-20 17:34:25,740: 'l'
2020-11-20 17:34:25,881: 'l'
2020-11-20 17:34:26,044: 'o'
2020-11-20 17:37:00,034: 'f'
2020-11-20 17:37:00,249: 'f'
2020-11-20 17:37:00,395: 'f'
2020-11-20 17:37:00,570: 'f'
2020-11-20 17:37:02,329: 'h'
2020-11-20 17:37:02,832: 'e'
2020-11-20 17:37:03,038: 'l'
2020-11-20 17:37:03,186: 'l'
2020-11-20 17:37:03,363: 'o'
2020-11-20 17:37:03,558: Key.space
2020-11-20 17:37:03,725: 't'
2020-11-20 17:37:03,844: 'h'
2020-11-20 17:37:04,015: 'e'
2020-11-20 17:37:06,113: 's'
2020-11-20 17:37:06,239: Key.space
2020-11-20 17:37:06,368: 'i'
2020-11-20 17:37:06,530: 's'
2020-11-20 17:37:06,684: Key.space
2020-11-20 17:37:08,025: 'm'
2020-11-20 17:37:08,163: 'e'
2020-11-20 17:37:08,300: 'i'
2020-11-20 17:37:08,467: Key.space
2020-11-20 17:37:08,756: 'w'
2020-11-20 17:37:08,865: 'o'
2020-11-20 17:37:09,030: 'n'
2020-11-20 17:37:09,855: 'd'
2020-11-20 17:37:10,102: 'u'
2020-11-20 17:37:10,215: 'r'
2020-11-20 17:37:10,685: 'f'
2020-11-20 17:37:10,815: 'o'
2020-11-20 17:37:11,045: 'l'
2020-11-20 17:37:11,194: 'l'
2020-11-20 17:37:12,503: Key.space
2020-11-20 17:37:13,792: 'k'
2020-11-20 17:37:14,479: 'i'
2020-11-20 17:37:14,673: 'l'
2020-11-20 17:37:15,092: 'o'
2020-11-20 17:37:15,238: 'o'
2020-11-20 17:37:15,742: 'a'
2020-11-20 17:37:17,622: 'r'
2020-11-20 17:38:35,293: 'g'
2020-11-20 17:38:35,465: 'o'
2020-11-20 17:38:35,674: 't'
2020-11-20 17:38:35,798: 't'
2020-11-20 17:38:36,249: Key.space
2020-11-20 17:38:36,399: 'h'
2020-11-20 17:38:36,601: 'i'
2020-11-20 17:38:36,812: 'l'
2020-11-20 17:38:36,976: 'f'
2020-11-20 17:38:37,116: Key.space
2020-11-20 17:38:37,362: 'm'
2020-11-20 17:38:37,548: 'i'
2020-11-20 17:38:37,994: 'r'
2020-11-20 17:38:39,713: Key.space
2020-11-21 10:46:57,170: 'h'
2020-11-21 10:46:57,308: 'e'
2020-11-21 10:46:57,434: 'l'
2020-11-21 10:46:57,586: 'l'
2020-11-21 10:46:57,773: 'o'
2020-11-21 10:46:57,968: Key.space
2020-11-21 10:46:58,100: 't'
2020-11-21 10:46:58,218: 'h'
2020-11-21 10:46:58,347: 'e'
2020-11-21 10:46:58,536: Key.space
2020-11-21 10:47:00,513: Key.backspace
2020-11-21 10:47:01,091: 'i'
2020-11-21 10:47:01,209: 's'
2020-11-21 10:47:01,322: Key.space
2020-11-21 10:47:01,446: 'i'
2020-11-21 10:47:02,317: 's'
2020-11-21 10:47:02,481: Key.space
2020-11-21 10:47:02,654: 'm'
2020-11-21 10:47:02,912: 'y'
2020-11-21 10:47:04,039: Key.space
2020-11-21 10:47:04,222: 's'
2020-11-21 10:47:04,366: 'm'
2020-11-21 10:47:04,465: 'a'
2020-11-21 10:47:04,588: 'l'
2020-11-21 10:47:04,740: 'l'
2020-11-21 10:47:04,904: Key.space
2020-11-21 10:47:05,064: 'k'
2020-11-21 10:47:05,209: 'e'
2020-11-21 10:47:05,420: 'y'
2020-11-21 10:47:05,612: 'l'
2020-11-21 10:47:05,806: 'o'
2020-11-21 10:47:05,976: 'g'
2020-11-21 10:47:06,095: 'g'
2020-11-21 10:47:06,305: 'e'
2020-11-21 10:47:06,385: 'r'
2020-11-21 10:47:06,604: Key.space
2020-11-21 10:47:06,787: 'i'
2020-11-21 10:47:07,006: Key.space
2020-11-21 10:47:07,231: 'w'
2020-11-21 10:47:07,433: 'r'
2020-11-21 10:47:07,625: 'o'
2020-11-21 10:47:07,757: 't'
2020-11-21 10:47:08,092: 'e'
2020-11-21 10:47:08,442: Key.space
2020-11-21 10:47:08,765: 'w'
2020-11-21 10:47:08,889: 'i'
2020-11-21 10:47:09,007: 't'
2020-11-21 10:47:09,152: 'h'
2020-11-21 10:47:09,307: Key.space
2020-11-21 10:47:09,588: 'p'
2020-11-21 10:47:09,857: 'y'
2020-11-21 10:47:10,004: 't'
2020-11-21 10:47:10,116: 'h'
2020-11-21 10:47:10,259: 'o'
2020-11-21 10:47:10,482: 'n'
